locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS03920,-0.0304683443457286,rpsQ,30S ribosomal protein S17,"Translation, ribosomal structure and biogenesis",2329,"ribosome assembly
ribosomal small subunit assembly
small ribosomal subunit rRNA binding
ribonucleoprotein complex assembly
cytosolic ribosome",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03920
EQU24_RS10775,-0.0305760834667082,,tyrosine-type recombinase/integrase,"Replication, recombination and repair",1475,"DNA recombination
prophage integrase activity
DNA integration
DNA metabolic process
DNA strand exchange activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10775
EQU24_RS00810,-0.0306402707844665,,hypothetical protein,No COG annotation,2719,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00810
EQU24_RS03955,-0.0307007299960424,,50S ribosomal protein L18,"Translation, ribosomal structure and biogenesis",2329,"cytosolic ribosome
5S rRNA binding
rRNA binding
NAD+ ADP-ribosyltransferase activity
peptide biosynthetic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03955
EQU24_RS20705,-0.0308325564879066,,hypothetical protein,No COG annotation,199,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20705
EQU24_RS17260,-0.0309186381736027,,RnfABCDGE type electron transport complex subunit B,Energy production and conversion,644,"4 iron, 4 sulfur cluster binding
electron transport chain
metal ion binding
plasma membrane
electron transfer activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17260
EQU24_RS11525,-0.0310067926646832,,hypothetical protein,No COG annotation,1379,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11525
EQU24_RS08065,-0.0310404772591847,,type II toxin-antitoxin system VapC family toxin,Function unknown,1815,"RNA phosphodiester bond hydrolysis
magnesium ion binding
endonuclease activity
ribonuclease activity
toxin activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08065
EQU24_RS14800,-0.0310704735115597,,hypothetical protein,Function unknown,960,"ribosome binding
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14800
EQU24_RS17190,-0.0317138011748342,,MFS transporter,Inorganic ion transport and metabolism,653,"integral component of membrane
transmembrane transporter activity
transmembrane transport",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17190
EQU24_RS01230,-0.0320638805526077,,hypothetical protein,No COG annotation,2662,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01230
EQU24_RS04415,-0.0322344931556078,,hypothetical protein,No COG annotation,2277,"nucleotidyltransferase activity
transferase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04415
EQU24_RS22145,-0.0322350592093501,yidD,membrane protein insertion efficiency factor YidD,Function unknown,1,"amide transport
protein insertion into membrane
peptide transport
organic substance transport
integral component of plasma membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS22145
EQU24_RS18375,-0.0322836171861326,,hypothetical protein,"Replication, recombination and repair",509,"DNA binding
transposase activity
transposition, DNA-mediated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18375
EQU24_RS06850,-0.0322910903978133,,hypothetical protein,No COG annotation,1962,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06850
EQU24_RS16505,-0.0323982374269888,,hypothetical protein,No COG annotation,735,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16505
EQU24_RS00030,-0.0324055469906083,,DUF2283 domain-containing protein,Function unknown,2827,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00030
EQU24_RS10205,-0.0324305799627292,fur,ferric iron uptake transcriptional regulator,Transcription,1534,"positive regulation of nucleic acid-templated transcription
negative regulation of nucleic acid-templated transcription
positive regulation of RNA biosynthetic process
negative regulation of transcription, DNA-templated
positive regulation of transcription, DNA-templated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10205
EQU24_RS11425,-0.032506350603429,,four helix bundle protein,Function unknown,1393,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11425
EQU24_RS01235,-0.0328490615125412,,hypothetical protein,No COG annotation,2662,"phosphorylation
kinase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01235
EQU24_RS18380,-0.0330766903421455,,Rpn family recombination-promoting nuclease/putative transposase,Function unknown,508,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18380
EQU24_RS15620,-0.0331087646434345,,hypothetical protein,No COG annotation,847,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15620
EQU24_RS01310,-0.0332170601852657,,hypothetical protein,Defense mechanisms,2652,catalytic activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01310
EQU24_RS02130,-0.0333127697621499,,restriction endonuclease subunit S,"Replication, recombination and repair",2536,"endonuclease activity
DNA modification
nucleic acid phosphodiester bond hydrolysis
DNA binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02130
EQU24_RS17270,-0.0334792965022321,nifL,nitrogen fixation negative regulator NifL,Transcription,643,"peptidyl-histidine phosphorylation
ATP binding
protein histidine kinase activity
nitrogen fixation
signal transduction",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17270
EQU24_RS06755,-0.0337227008235628,,phospholipid carrier-dependent glycosyltransferase,No COG annotation,1974,"integral component of membrane
transferase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06755
EQU24_RS11400,-0.0337286494533074,,nucleotidyltransferase family protein,Function unknown,1397,transferase activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11400
EQU24_RS17370,-0.0338207884884568,,HNH endonuclease,Defense mechanisms,632,"endonuclease activity
nucleic acid phosphodiester bond hydrolysis
nucleic acid binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17370
EQU24_RS01225,-0.0339081620523122,,hypothetical protein,No COG annotation,2662,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01225
EQU24_RS11895,-0.0339949265579265,,RNA polymerase sigma factor,Transcription,1332,"regulation of DNA-templated transcription, initiation
DNA binding
sigma factor activity
DNA-binding transcription factor activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11895
EQU24_RS19320,-0.0340807611591571,,hypothetical protein,No COG annotation,382,membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19320
EQU24_RS02675,-0.0343480654013946,,hypothetical protein,No COG annotation,2463,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02675
EQU24_RS17505,-0.03448626241517,,hypothetical protein,No COG annotation,613,"integral component of membrane
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17505
EQU24_RS06810,-0.0345737434184989,,hypothetical protein,Function unknown,1967,"methyltransferase activity
transferase activity
methylation",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06810
EQU24_RS14705,-0.0348153458433909,,DUF502 domain-containing protein,Function unknown,974,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14705
EQU24_RS11685,-0.0348648665397616,,NgoFVII family restriction endonuclease,Function unknown,1357,"endonuclease activity
nucleic acid phosphodiester bond hydrolysis",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11685
EQU24_RS11405,-0.0351485027330233,,HprK-related kinase A,"Post-translational modification, protein turnover, and chaperones",1397,"phosphorylation
kinase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11405
EQU24_RS06820,-0.0352044327300424,,lipopolysaccharide biosynthesis protein,Function unknown,1966,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06820
EQU24_RS11850,-0.0354178432489916,,hypothetical protein,No COG annotation,1337,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11850
EQU24_RS16185,-0.0358132312155289,,TMEM165/GDT1 family protein,Function unknown,777,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16185
EQU24_RS15570,-0.0360981918793387,,hypothetical protein,No COG annotation,857,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15570
EQU24_RS00880,-0.0361592556025027,,hypothetical protein,No COG annotation,2712,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00880
EQU24_RS01220,-0.0362443148975969,,hypothetical protein,No COG annotation,2663,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01220
EQU24_RS01415,-0.0362831982331736,,hypothetical protein,No COG annotation,2637,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01415
EQU24_RS11655,-0.036497162910778,,DUF2914 domain-containing protein,No COG annotation,1361,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11655
EQU24_RS07525,-0.0367467946854563,,hypothetical protein,No COG annotation,1881,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07525
EQU24_RS08960,-0.0369279182206947,,hypothetical protein,No COG annotation,1696,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08960
EQU24_RS21830,-0.0369885405413035,,DUF262 domain-containing protein,Function unknown,43,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS21830
EQU24_RS10555,-0.0378433451572441,,response regulator transcription factor,Transcription,1498,"regulation of transcription, DNA-templated
DNA binding
phosphorelay signal transduction system",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10555
EQU24_RS08100,-0.0378827753951559,,helix-turn-helix domain-containing protein,No COG annotation,1810,DNA binding,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08100
EQU24_RS00330,-0.0379595469592495,,flippase,Function unknown,2783,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00330
EQU24_RS17310,-0.038042470962943,,hypothetical protein,No COG annotation,638,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17310
EQU24_RS04380,-0.0380883434275649,,type II toxin-antitoxin system VapC family toxin,Function unknown,2280,"nucleic acid phosphodiester bond hydrolysis
metal ion binding
nuclease activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04380
EQU24_RS18500,-0.0380905373161073,,cytidyltransferase,Cell wall/membrane/envelope biogenesis,494,N-acylneuraminate cytidylyltransferase activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18500
EQU24_RS07505,-0.0382369189614488,,hypothetical protein,No COG annotation,1882,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07505
EQU24_RS03235,-0.0382643342265786,,BLUF domain-containing protein,Function unknown,2401,"FAD binding
blue light signaling pathway
blue light photoreceptor activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03235
EQU24_RS10325,-0.0382910782957466,,PEP-CTERM/exosortase system-associated acyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",1523,acyltransferase activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10325
EQU24_RS16470,-0.0383505291463963,,type II toxin-antitoxin system VapC family toxin,Function unknown,739,"endonuclease activity
nucleic acid phosphodiester bond hydrolysis
hydrolase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16470
EQU24_RS11955,-0.0383905746989687,,sulfotransferase,No COG annotation,1324,"peptidyl-tyrosine sulfation
protein-tyrosine sulfotransferase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11955
EQU24_RS17915,-0.0384525289724728,,hypothetical protein,No COG annotation,568,"visual perception
morphogenesis of an epithelium
lens development in camera-type eye
structural constituent of eye lens",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17915
EQU24_RS06825,-0.0388919963569177,,tetratricopeptide repeat protein,No COG annotation,1966,"protein binding
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06825
EQU24_RS16405,-0.0389459202322554,,inovirus Gp2 family protein,Function unknown,748,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16405
EQU24_RS14030,-0.0394091217294471,cas6f,type I-F CRISPR-associated endoribonuclease Cas6/Csy4,Function unknown,1066,"maintenance of CRISPR repeat elements
endonuclease activity
nucleic acid phosphodiester bond hydrolysis",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14030
EQU24_RS16245,-0.0398751920607876,,hypothetical protein,No COG annotation,768,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16245
EQU24_RS05220,-0.0398964767102701,,,No COG annotation,2176,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05220
EQU24_RS14820,-0.0398968526405744,,hypothetical protein,No COG annotation,958,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14820
EQU24_RS16565,-0.040237234091546,,hypothetical protein,No COG annotation,726,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16565
EQU24_RS14710,-0.0409529032384917,,AI-2E family transporter,Function unknown,973,"integral component of plasma membrane
transport
intrinsic component of plasma membrane
integral component of membrane
plasma membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14710
EQU24_RS01375,-0.0410614011571828,,hypothetical protein,No COG annotation,2643,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01375
EQU24_RS13040,-0.0411130128778248,,hypothetical protein,No COG annotation,1196,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13040
EQU24_RS13045,-0.0412436916553798,,ISNCY family transposase,"Replication, recombination and repair",1195,"DNA binding
transposase activity
transposition, DNA-mediated
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13045
EQU24_RS16500,-0.0412747732111843,,HNH endonuclease,No COG annotation,735,"endonuclease activity
nucleic acid phosphodiester bond hydrolysis",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16500
EQU24_RS01185,-0.041757580514988,,hypothetical protein,No COG annotation,2666,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01185
EQU24_RS03800,-0.0422845918113624,tuf,elongation factor Tu,"Translation, ribosomal structure and biogenesis",2336,"GTPase activity
peptide biosynthetic process
translation
amide biosynthetic process
GTP binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03800
EQU24_RS20950,-0.04246794763003,,ISKra4 family transposase,"Replication, recombination and repair",161,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20950
EQU24_RS19985,-0.0426552326916475,,DUF429 domain-containing protein,Function unknown,295,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19985
EQU24_RS07490,-0.0427832994256007,,DUF4007 family protein,No COG annotation,1883,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07490
EQU24_RS00340,-0.0434246388435115,,hypothetical protein,No COG annotation,2783,sulfotransferase activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00340
EQU24_RS17500,-0.0444377053844893,,catalase,No COG annotation,614,"hydrogen peroxide catabolic process
heme binding
metal ion binding
response to oxidative stress
cellular oxidant detoxification",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17500
EQU24_RS01200,-0.0450502628450131,,hypothetical protein,Cell motility,2666,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01200
EQU24_RS05915,-0.0457206544796445,,BLUF domain-containing protein,Function unknown,2085,"FAD binding
blue light signaling pathway
blue light photoreceptor activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05915
EQU24_RS10330,-0.0458930964066925,,methyltransferase domain-containing protein,"Secondary metabolites biosynthesis, transport, and catabolism",1522,"methyltransferase activity
methylation",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10330
EQU24_RS08465,-0.0461276286695951,urtD,urea ABC transporter ATP-binding protein UrtD,Function unknown,1762,"ATP hydrolysis activity
ATP binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08465
EQU24_RS17365,-0.0465082717071976,,hypothetical protein,No COG annotation,633,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17365
EQU24_RS12675,-0.0466717197843359,,divalent-cation tolerance protein CutA,Inorganic ion transport and metabolism,1238,"protein homooligomerization
copper ion binding
protein complex oligomerization
transition metal ion binding
protein-containing complex assembly",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12675
EQU24_RS14025,-0.047671144437766,,type I-F CRISPR-associated endoribonuclease Cas6/Csy4,No COG annotation,1066,"maintenance of CRISPR repeat elements
endonuclease activity
nucleic acid phosphodiester bond hydrolysis",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14025
EQU24_RS14285,-0.0478581746669871,,hypothetical protein,No COG annotation,1036,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14285
EQU24_RS10550,-0.0493533496996899,,PAS domain S-box protein,No COG annotation,1499,"phosphorelay signal transduction system
protein binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10550
EQU24_RS18475,-0.0515271535775293,,HAD-IA family hydrolase,No COG annotation,496,"transferase activity
hydrolase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18475
EQU24_RS11650,-0.0518218899018892,,H-NS histone family protein,Function unknown,1362,"regulation of transcription, DNA-templated
DNA binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11650
EQU24_RS01540,-0.052648072231419,,hypothetical protein,No COG annotation,2618,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01540
EQU24_RS14350,-0.0540045000333617,,LapA family protein,No COG annotation,1026,integral component of plasma membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14350
EQU24_RS14565,-0.0545948533713925,,AI-2E family transporter,Function unknown,998,"integral component of plasma membrane
transport
intrinsic component of plasma membrane
integral component of membrane
plasma membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14565
EQU24_RS02365,-0.0559015440195746,,hypothetical protein,No COG annotation,2507,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02365
EQU24_RS18485,-0.0573857727114307,,hypothetical protein,No COG annotation,494,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18485
EQU24_RS18555,-0.0577670163806114,,,No COG annotation,489,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18555
EQU24_RS04225,-0.0597744125549008,,hypothetical protein,No COG annotation,2302,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04225
EQU24_RS05390,-0.0616288412254157,,hypothetical protein,No COG annotation,2159,"integral component of membrane
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05390
EQU24_RS00345,-0.0626300098867276,,hypothetical protein,Function unknown,2783,sulfotransferase activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00345
EQU24_RS21805,-0.0651789647105713,,hypothetical protein,No COG annotation,44,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS21805
EQU24_RS00335,-0.0759802174706224,,hypothetical protein,No COG annotation,2783,sulfotransferase activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00335
EQU24_RS09155,-0.0769732196346649,,hypothetical protein,No COG annotation,1672,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09155
EQU24_RS04400,-0.0798352035574327,,hypothetical protein,No COG annotation,2278,"ATP hydrolysis activity
ATP binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04400
EQU24_RS18505,-0.0825081472868524,,hypothetical protein,No COG annotation,494,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18505
EQU24_RS17180,-0.0831760826443082,,hypothetical protein,Inorganic ion transport and metabolism,654,"integral component of membrane
transmembrane transporter activity
transmembrane transport",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17180
